,Country,Sex,2016,2015,2010,2000,GDI 2015,HDI 2015
101,Cuba, FeM,4.1,4.0,4.8,9.1,0.954,0.772
104,Cyprus, FeM,1.9,2.2,2.3,1.5,0.971,0.865
107,Denmark, FeM,5.2,5.4,5.5,6.5,0.977,0.933
110,Dominican Republic, FeM,3.2,3.2,3.2,3.8,0.995,0.738
113,Ecuador, FeM,3.8,4.9,4.7,3.7,0.98,0.764
116,Egypt, FeM,1.7,1.7,1.6,1.5,0.868,0.691
119,El Salvador, FeM,4.3,4.4,4.1,6.6,0.965,0.668
122,Estonia, FeM,4.4,3.8,4.5,9.7,1.03,0.877
125,Ethiopia, FeM,4.7,4.8,5.4,6.6,0.84,0.462
128,Fiji, FeM,2.5,2.5,2.5,3.1,0.941,0.737
131,Finland, FeM,6.8,5.7,8.0,10.7,0.996,0.93
134,France, FeM,6.5,6.7,8.1,9.3,0.987,0.895
137,Gambia, FeM,7.3,7.4,7.3,10.1,0.889,0.471
140,Georgia, FeM,1.9,1.9,1.6,1.8,0.962,0.79
143,Germany, FeM,4.8,4.9,4.6,5.4,0.963,0.938
146,Ghana, FeM,2.9,2.9,2.9,2.9,0.885,0.59
149,Greece, FeM,1.5,1.5,0.6,1.2,0.961,0.877
152,Guatemala, FeM,1.7,1.9,1.4,1.6,0.949,0.652
155,Guinea, FeM,8.4,8.7,8.7,9.1,0.778,0.457
158,Guyana, FeM,14.2,14.3,14.1,12.8,0.984,0.674
161,Honduras, FeM,1.7,1.6,1.6,1.7,0.944,0.618
164,Hungary, FeM,6.2,6.6,7.8,10.6,0.976,0.842
167,Iceland, FeM,4.7,4.8,5.6,6.4,0.975,0.934
170,India, FeM,14.5,14.7,15.1,16.1,0.795,0.624
173,Indonesia, FeM,2.2,2.2,2.4,2.7,0.927,0.695
176,Iraq, FeM,3.4,3.4,2.9,2.7,0.787,0.649
179,Ireland, FeM,4.2,4.2,5.0,4.4,0.973,0.935
182,Israel, FeM,2.4,2.1,2.5,3.0,0.971,0.91
185,Italy, FeM,2.6,2.5,2.3,2.8,0.964,0.882
188,Jamaica, FeM,0.9,0.9,0.9,0.8,0.995,0.731
191,Japan, FeM,8.1,8.6,10.4,9.9,0.961,0.908
194,Jordan, FeM,2.7,2.7,2.7,3.7,0.86,0.73
197,Kazakhstan, FeM,7.7,8.5,10.7,10.4,1.002,0.806
200,Kenya, FeM,2.1,2.1,2.3,3.6,0.913,0.587
203,Kuwait, FeM,1.7,1.7,1.1,1.4,0.972,0.801
206,Kyrgyzstan, FeM,3.7,3.5,4.4,5.4,0.961,0.69
209,Latvia, FeM,5.1,5.3,4.2,9.5,1.029,0.849
212,Lebanon, FeM,2.2,2.3,2.4,2.1,0.899,0.744
215,Lesotho, FeM,32.6,32.1,31.0,30.2,0.953,0.503
218,Liberia, FeM,13.0,12.6,12.7,9.5,0.789,0.477
221,Libya, FeM,2.3,2.1,2.4,3.0,0.95,0.697
224,Lithuania, FeM,6.7,8.9,9.5,15.6,1.03,0.862
227,Luxembourg, FeM,5.8,5.7,5.2,8.2,0.971,0.906
230,Madagascar, FeM,3.6,3.7,4.2,5.0,0.945,0.522
233,Malawi, FeM,3.2,3.2,3.2,4.7,0.907,0.468
236,Malaysia, FeM,3.6,3.6,3.6,4.4,0.947,0.796
239,Maldives, FeM,1.6,1.8,2.4,5.1,0.937,0.724
242,Mali, FeM,4.7,4.8,4.6,5.0,0.776,0.417
245,Malta, FeM,2.8,3.2,1.6,2.4,0.937,0.88
248,Mauritania, FeM,3.6,3.5,3.2,3.0,0.816,0.536
251,Mauritius, FeM,2.2,4.3,3.5,4.5,0.95,0.789
254,Mexico, FeM,2.3,2.4,1.9,1.2,0.943,0.766
257,Mongolia, FeM,3.8,3.9,4.8,8.2,1.028,0.735
260,Montenegro, FeM,3.6,3.5,4.1,5.6,0.954,0.816
263,Morocco, FeM,3.6,3.7,5.0,9.5,0.828,0.658
266,Mozambique, FeM,4.1,4.2,4.9,7.3,0.881,0.433
269,Namibia, FeM,4.9,5.1,5.7,5.9,0.981,0.638
272,Nepal, FeM,8.0,8.5,11.0,15.5,0.908,0.583
275,Netherlands, FeM,6.4,6.4,4.8,5.3,0.947,0.934
278,New Zealand, FeM,6.2,6.2,6.9,4.5,0.961,0.921
281,Nicaragua, FeM,5.0,5.1,5.5,8.0,0.96,0.652
284,Niger, FeM,6.7,6.7,7.2,7.0,0.729,0.372
287,Nigeria, FeM,17.1,17.6,20.1,20.6,0.841,0.526
290,Norway, FeM,6.5,7.0,6.5,6.0,0.996,0.947
293,Oman, FeM,0.9,1.0,1.0,1.6,0.909,0.814
296,Pakistan, FeM,3.1,3.2,3.5,4.4,0.726,0.536
299,Panama, FeM,1.2,1.4,1.5,1.6,0.996,0.799
302,Paraguay, FeM,6.2,6.3,6.0,6.4,0.956,0.721
305,Peru, FeM,2.7,2.7,2.5,3.3,0.947,0.759
308,Philippines, FeM,2.3,2.3,2.3,1.8,0.977,0.701
311,Poland, FeM,3.4,3.3,3.7,4.7,1.007,0.863
314,Portugal, FeM,3.8,3.8,4.2,2.1,0.985,0.854
317,Qatar, FeM,1.1,1.1,1.1,1.4,0.998,0.839
320,Russian Federation, FeM,7.5,7.9,10.2,13.7,1.019,0.809
323,Rwanda, FeM,6.0,6.2,7.2,19.4,0.957,0.526
326,Saint Lucia, FeM,2.1,2.1,1.6,2.4,0.991,0.747
329,Samoa, FeM,2.2,2.2,2.6,4.6,0.956,0.707
332,Saudi Arabia, FeM,1.7,1.7,1.7,1.4,0.901,0.859
335,Senegal, FeM,5.2,5.4,6.2,6.8,0.883,0.506
338,Serbia, FeM,5.2,5.2,5.2,9.1,0.966,0.789
341,Sierra Leone, FeM,14.2,13.9,14.3,16.6,0.814,0.431
344,Singapore, FeM,4.9,5.2,6.0,8.1,0.985,0.931
347,Slovakia, FeM,2.6,2.6,3.1,4.4,0.999,0.85
350,Slovenia, FeM,4.5,5.8,5.1,13.2,0.996,0.894
353,South Africa, FeM,5.1,5.3,6.1,7.1,0.948,0.701
356,Spain, FeM,3.1,3.0,2.2,3.0,0.975,0.895
359,Sri Lanka, FeM,6.2,6.1,8.4,13.5,0.948,0.776
362,Sudan, FeM,4.6,4.5,4.6,4.4,0.83,0.504
365,Suriname, FeM,10.9,11.4,13.3,11.6,0.975,0.74
368,Sweden, FeM,7.4,7.7,6.8,7.7,0.999,0.938
371,Switzerland, FeM,6.9,6.9,7.0,9.4,0.95,0.947
374,Tajikistan, FeM,1.7,1.8,1.8,2.2,0.926,0.652
377,Thailand, FeM,4.8,4.9,5.5,8.3,1.0,0.749
380,Togo, FeM,10.9,10.7,11.2,11.8,0.831,0.499
383,Tonga, FeM,2.9,2.9,3.1,3.9,0.967,0.72
386,Trinidad and Tobago, FeM,4.3,4.4,5.4,6.4,0.985,0.792
389,Tunisia, FeM,2.2,2.2,2.3,2.3,0.894,0.729
392,Turkey, FeM,3.2,3.3,3.8,2.9,0.902,0.801
395,Uganda, FeM,18.7,19.2,22.0,23.9,0.886,0.525
398,Ukraine, FeM,4.7,5.1,6.4,9.5,1.003,0.765
401,United Arab Emirates, FeM,0.8,0.8,0.9,1.5,0.954,0.859
404,Uruguay, FeM,7.1,7.0,6.7,5.5,1.018,0.806
407,Uzbekistan, FeM,4.6,4.5,3.3,4.5,0.945,0.701
410,Vanuatu, FeM,2.7,2.7,3.2,5.1,0.903,0.598
413,Yemen, FeM,6.2,6.3,6.6,5.5,0.739,0.483
416,Zambia, FeM,6.2,6.1,6.2,7.5,0.917,0.569
419,Zimbabwe, FeM,11.1,11.1,11.1,9.8,0.922,0.553
