,Country,GDI 2015,HDI 2015,Average suicide 2015,democracy,government,political_violence
55,Cuba,0.954,0.772,10.4,0.0,Party-Personal,-0.2795582
56,Lebanon,0.899,0.744,2.9,1.0,Parliamentary Democracy,-0.024284594
57,Costa Rica,0.974,0.797,6.4,1.0,Presidential Democracy,-0.36381397
58,Turkey,0.902,0.801,2.3,0.0,Party-Personal,3.2555397
59,Sri Lanka,0.948,0.776,14.7,1.0,Presidential Democracy,-0.28922236
60,Mexico,0.943,0.766,5.6,1.0,Presidential Democracy,-0.042658456
61,Brazil,0.997,0.756,5.6,1.0,Presidential Democracy,-0.03561659
62,Georgia,0.962,0.79,8.8,1.0,Parliamentary Democracy,-0.32385784
63,Azerbaijan,0.942,0.744,4.0,0.0,Personal Dictatorship,-0.14115031
64,Jordan,0.86,0.73,1.9,0.0,Monarchy,-0.35642362
65,Ukraine,1.003,0.765,17.9,1.0,Presidential Democracy,1.4563278
66,Algeria,0.837,0.74,2.7,1.0,Presidential Democracy,0.25416517
67,Peru,0.947,0.759,2.8,1.0,Presidential Democracy,-0.28932154
68,Albania,0.948,0.788,4.2,1.0,Parliamentary Democracy,-0.3631553
69,Armenia,1.008,0.768,4.7,1.0,Parliamentary Democracy,-0.35445473
70,Ecuador,0.98,0.764,8.9,1.0,Presidential Democracy,-0.36310217
71,China,0.943,0.739,7.1,0.0,Dominant Party,0.0
72,Fiji,0.941,0.737,10.0,0.0,Military-Personal,-0.36381513
73,Mongolia,1.028,0.735,19.7,1.0,Presidential Democracy,-0.36428955
74,Thailand,1.0,0.749,7.2,0.0,Military,-0.01016395
75,Libya,0.95,0.697,5.5,0.0,Warlordism,1.7465991
76,Tunisia,0.894,0.729,3.0,1.0,Presidential Democracy,-0.3431917
77,Colombia,0.997,0.756,4.0,1.0,Presidential Democracy,0.01124407
78,Jamaica,0.995,0.731,2.2,1.0,Parliamentary Democracy,-0.3621707
79,Tonga,0.967,0.72,5.3,0.0,Monarchy,-0.36428955
80,Belize,0.958,0.71,6.9,1.0,Parliamentary Democracy,-0.36413628
81,Dominican Republic,0.995,0.738,6.8,1.0,Presidential Democracy,-0.3609355
82,Suriname,0.975,0.74,25.9,1.0,Parliamentary Democracy,-0.3603666
83,Maldives,0.937,0.724,3.0,1.0,Presidential Democracy,-0.36321235
84,Samoa,0.956,0.707,14.9,1.0,Parliamentary Democracy,-0.36428955
85,Botswana,0.982,0.717,24.5,0.0,Dominant Party,-0.36368248
86,Egypt,0.868,0.691,3.7,0.0,Military-Personal,1.5187956
87,Indonesia,0.927,0.695,2.6,1.0,Presidential Democracy,0.22789077
88,Paraguay,0.956,0.721,5.9,1.0,Presidential Democracy,-0.35751036
89,Uzbekistan,0.945,0.701,9.2,0.0,Party-Personal,-0.34665602
90,Philippines,0.977,0.701,2.7,1.0,Presidential Democracy,1.3946486
91,El Salvador,0.965,0.668,6.8,1.0,Presidential Democracy,-0.35804498
92,South Africa,0.948,0.701,25.6,1.0,Parliamentary Democracy,-0.07766751
93,Kyrgyzstan,0.961,0.69,10.9,0.0,Provisional - Civilian,-0.36166617
94,Iraq,0.787,0.649,5.4,1.0,Parliamentary Democracy,26.407698
95,Guyana,0.984,0.674,39.3,1.0,Parliamentary Democracy,-0.36232573
96,Nicaragua,0.96,0.652,4.5,0.0,Party-Personal,-0.26365313
97,Morocco,0.828,0.658,7.6,0.0,Monarchy,-0.11573004
98,Namibia,0.981,0.638,16.3,0.0,Dominant Party,-0.36108136
99,Guatemala,0.949,0.652,6.4,1.0,Presidential Democracy,-0.2702108
100,Tajikistan,0.926,0.652,5.2,0.0,Personal Dictatorship,-0.18936597
101,India,0.795,0.624,12.9,1.0,Parliamentary Democracy,1.2826383
102,Honduras,0.944,0.618,4.6,1.0,Presidential Democracy,-0.3559538
103,Bhutan,0.897,0.628,5.2,1.0,Parliamentary Democracy,-0.3620993
104,Vanuatu,0.903,0.598,21.2,1.0,Parliamentary Democracy,-0.36428955
105,Congo,0.922,0.58,12.5,0.0,Personal Dictatorship,-0.2822556
106,Zambia,0.917,0.569,17.3,1.0,Presidential Democracy,-0.36239898
107,Ghana,0.885,0.59,12.0,1.0,Presidential Democracy,-0.34957185
108,Bangladesh,0.917,0.595,3.6,1.0,Parliamentary Democracy,-0.19729966
109,Cambodia,0.89,0.57,5.8,0.0,Dominant Party,-0.28054062
110,Kenya,0.913,0.587,10.6,1.0,Presidential Democracy,0.11641595
111,Nepal,0.908,0.583,9.8,1.0,Parliamentary Democracy,0.30122933
112,Pakistan,0.726,0.536,10.0,1.0,Parliamentary Democracy,2.8151274
113,Nigeria,0.841,0.526,7.3,1.0,Presidential Democracy,5.601076
114,Cameroon,0.879,0.549,17.1,0.0,Personal Dictatorship,0.4730425
115,Madagascar,0.945,0.522,9.5,1.0,Presidential Democracy,-0.35985735
116,Zimbabwe,0.922,0.553,30.7,0.0,Dominant Party,-0.32113254
117,Mauritania,0.816,0.536,5.3,0.0,Personal Dictatorship,-0.3632608
118,Comoros,0.813,0.545,8.8,1.0,Presidential Democracy,-0.35770014
119,Yemen,0.739,0.483,6.8,0.0,Warlordism,1.5228071
120,Lesotho,0.953,0.503,114.5,1.0,Parliamentary Democracy,-0.35899773
121,Togo,0.831,0.499,16.7,0.0,Personal Dictatorship,-0.3562664
122,Rwanda,0.957,0.526,9.9,0.0,Party-Military,2.0408857
123,Uganda,0.886,0.525,11.0,0.0,Personal Dictatorship,0.28108308
124,Benin,0.823,0.532,13.4,1.0,Presidential Democracy,-0.36428955
125,Sudan,0.83,0.504,4.9,0.0,Provisional - Civilian,1.9499922
126,Senegal,0.883,0.506,11.8,1.0,Presidential Democracy,-0.34040192
127,Afghanistan,0.6,0.5,6.0,1.0,Presidential Democracy,26.597689
128,Malawi,0.907,0.468,12.6,1.0,Presidential Democracy,-0.36254418
129,Ethiopia,0.84,0.462,10.0,0.0,Dominant Party,0.15782273
130,Gambia,0.889,0.471,10.3,1.0,Presidential Democracy,-0.36110866
131,Liberia,0.789,0.477,7.7,1.0,Presidential Democracy,-0.20520757
132,Mali,0.776,0.417,8.5,0.0,Provisional - Military,0.54586136
133,Mozambique,0.881,0.433,24.0,0.0,Dominant Party,-0.20297831
134,Sierra Leone,0.814,0.431,10.5,1.0,Presidential Democracy,-0.23560628
135,Guinea,0.778,0.457,13.0,1.0,Presidential Democracy,-0.35018978
136,Burkina Faso,0.881,0.422,15.4,1.0,Presidential Democracy,-0.25238052
137,Burundi,0.911,0.437,12.8,0.0,Personal Dictatorship,-0.30139038
138,Chad,0.768,0.398,14.0,0.0,Personal Dictatorship,0.24292347
139,Niger,0.729,0.372,10.4,1.0,Presidential Democracy,-0.10306847
